Order,area,price
1,1656,215000
2,896,105000
3,1329,172000
4,2110,244000
5,1629,189900
6,1604,195500
7,1338,213500
8,1280,191500
9,1616,236500
10,1804,189000
11,1655,175900
12,1187,185000
13,1465,180400
14,1341,171500
15,1502,212000
16,3279,538000
17,1752,164000
18,1856,394432
19,864,141000
20,2073,210000
21,1844,190000
22,1173,170000
23,1674,216000
24,1004,149000
25,1078,149900
26,1056,142000
27,882,126000
28,864,115000
29,1337,184000
30,987,96000
31,1092,105500
32,1092,88000
33,1069,127500
34,1456,149900
35,836,120000
36,1456,146000
37,2334,376162
38,1704,306000
39,1940,395192
40,1544,290941
41,1541,220000
42,1698,275000
43,1822,259000
44,1535,214000
45,2364,611657
46,1358,224000
47,2696,500000
48,2250,320000
49,1752,319900
50,1370,205000
51,1626,175500
52,1324,199500
53,1145,160000
54,1269,192000
55,1374,184500
56,1960,216500
57,1733,185088
58,1430,180000
59,2035,222500
60,2599,333168
61,2475,355000
62,1720,260400
63,2622,325000
64,2270,290000
65,1839,221000
66,3238,410000
67,1595,221500
68,1218,204500
69,1547,215200
70,1566,262500
71,1947,254900
72,1468,271500
73,2084,233000
74,1659,181000
75,2110,205000
76,923,143000
77,1845,189000
78,918,99500
79,752,125000
80,1744,194500
81,1097,152000
82,1564,171000
83,1012,67500
84,1902,112000
85,1155,148000
86,894,138500
87,900,122000
88,1040,133000
89,1040,127000
90,1494,169000
91,1923,190000
92,2349,362500
93,2225,285000
94,1488,260000
95,1680,190000
96,1200,155000
97,1200,151000
98,1200,149500
99,1236,152000
100,1478,222000
101,1573,177500
102,1512,177000
103,1416,155000
104,1080,147110
105,1418,267916
106,1848,254000
107,788,155000
108,1226,206000
109,1479,130500
110,1492,230000
111,1829,218500
112,2495,243500
113,1610,205000
114,1891,212500
115,1714,196500
116,1381,197500
117,1645,171000
118,1232,142250
119,1328,143000
120,1225,128950
121,1209,159000
122,1510,178900
123,1775,136300
124,1152,180500
125,1054,137500
126,1728,84900
127,1078,142125
128,2461,197600
129,1556,172500
130,858,116500
131,1306,76500
132,1063,128000
133,1520,153000
134,1268,132000
135,1128,178000
136,2274,154300
137,2207,180000
138,1888,190000
139,1604,135000
140,1480,214000
141,1143,136000
142,1700,165500
143,1314,145000
144,1194,148000
145,1188,142000
146,1264,167500
147,1206,108538
148,1580,159500
149,1337,108000
150,1064,135000
151,972,122500
152,988,119000
153,1057,109000
154,985,105000
155,827,107500
156,1086,144900
157,936,129000
158,1458,97500
159,1056,144000
160,1287,162000
161,2978,242000
162,1224,132000
163,1246,154000
164,1385,166000
165,900,134800
166,1116,160000
167,1175,148000
168,1395,192000
169,1839,155000
170,1844,80400
171,1140,96500
172,936,109500
173,1028,115000
174,1347,143000
175,1605,107400
176,747,80000
177,804,119000
178,1316,130000
179,1251,119000
180,1633,129000
181,1245,100000
182,832,12789
183,720,105900
184,1566,150000
185,1652,139000
186,2268,240000
187,2256,76500
188,1236,149700
189,1363,125500
190,2290,122500
191,1470,140750
192,1612,128500
193,2068,209500
194,765,87000
195,1132,134000
196,1196,128000
197,1453,132000
198,1416,139900
199,1040,123900
200,1536,138400
201,1068,109500
202,1710,140000
203,1962,149500
204,1560,159900
205,1324,122000
206,816,110000
207,1092,55000
208,1812,140000
209,2403,244400
210,1675,173000
211,1224,107500
212,1392,100000
213,919,95000
214,1884,93369
215,1680,114900
216,1020,94000
217,1832,136000
218,1768,136500
219,1039,131500
220,1392,121500
221,912,125000
222,1060,154000
223,892,137900
224,1352,158000
225,864,137250
226,1373,160250
227,1440,163000
228,1386,158900
229,2260,328000
230,1483,270000
231,756,85000
232,1067,128000
233,1524,260000
234,1981,230000
235,1610,124000
236,835,83000
237,1074,144500
238,1144,129000
239,1531,127000
240,1172,128000
241,1212,186000
242,1508,308030
243,1298,114000
244,930,84900
245,1732,178000
246,1433,270000
247,1802,218000
248,1949,236000
249,996,147000
250,1694,245350
251,1208,206000
252,1226,198900
253,1222,187000
254,3222,320000
255,1445,138500
256,1052,155000
257,965,159000
258,1692,191000
259,1682,200500
260,1026,150000
261,1392,161750
262,894,128200
263,876,127000
264,1978,318000
265,1601,272000
266,1829,237000
267,2098,240000
268,1661,224900
269,848,143750
270,848,143000
271,1668,232000
272,1484,213000
273,1414,185500
274,640,84900
275,992,155891
276,1664,100000
277,1196,144000
278,1120,64000
279,1096,125200
280,1117,107000
281,960,90000
282,1121,140000
283,1487,113000
284,924,80000
285,1526,144500
286,1296,104000
287,1647,128000
288,864,58500
289,1691,127000
290,856,126000
291,2650,160000
292,1666,100000
293,2447,169000
294,2133,257500
295,2177,215000
296,2340,266500
297,1902,335000
298,1652,203135
299,1034,185000
300,1191,162500
301,1801,289000
302,1154,125500
303,540,82000
304,1107,110000
305,1128,68400
306,1178,102776
307,1044,55993
308,952,50138
309,1646,246000
310,1916,254900
311,1285,190000
312,1560,201000
313,1034,169900
314,2048,170000
315,1687,160000
316,1346,220000
317,1214,179781
318,1444,174000
319,1968,269500
320,1894,214900
321,1908,202900
322,2018,378500
323,1264,169000
324,1430,173500
325,1824,139000
326,1344,166500
327,1092,83500
328,945,119500
329,1112,85000
330,1092,76000
331,630,75500
332,1092,88250
333,1092,85500
334,874,130000
335,1188,157900
336,833,149900
337,2432,159000
338,1274,136000
339,1479,161000
340,1803,285000
341,1797,231000
342,882,124500
343,1434,157000
344,2704,345000
345,1608,189500
346,2283,270000
347,1628,189000
348,1746,377500
349,1474,168500
350,2522,375000
351,1659,278000
352,1478,240000
353,1734,239500
354,1382,177500
355,1718,185000
356,1636,191000
357,1571,178000
358,1470,185000
359,1516,181316
360,1190,166000
361,1593,178000
362,1481,174000
363,1167,173000
364,1983,225000
365,1442,180500
366,1360,187500
367,2234,501837
368,2046,372500
369,1530,260000
370,1934,185000
371,2353,260000
372,1586,181000
373,1411,82500
374,1602,215000
375,2050,154000
376,1671,200000
377,2673,249000
378,1472,187500
379,1707,184000
380,2524,278000
381,1601,157000
382,1370,152000
383,1868,197500
384,1884,240900
385,1935,263435
386,1874,220000
387,1811,235000
388,1621,213000
389,1116,167900
390,1193,158000
391,1350,165000
392,2119,158000
393,1792,136000
394,1002,148500
395,1026,156000
396,1180,128000
397,1050,143000
398,864,76500
399,864,120500
400,864,124500
401,864,97000
402,864,130000
403,987,111000
404,1365,125000
405,1302,112000
406,987,97000
407,987,118000
408,1302,119500
409,958,143750
410,1548,146000
411,1456,148500
412,1055,123000
413,1322,147000
414,1456,137900
415,1548,147000
416,1441,148500
417,1456,138000
418,836,128500
419,892,100000
420,1120,148800
421,1718,337500
422,2772,462000
423,3140,485000
424,2402,555000
425,1652,325000
426,1600,256300
427,2042,253293
428,2690,398800
429,2184,335000
430,2020,404000
431,2020,402861
432,2296,451950
433,2674,610000
434,2822,582933
435,1736,360000
436,1782,296000
437,2520,409900
438,1717,255500
439,1743,335000
440,1713,274900
441,1531,300000
442,1808,324000
443,2224,350000
444,1836,280000
445,1629,284000
446,1760,269500
447,1502,233170
448,2392,386250
449,2452,445000
450,2400,290000
451,1606,255900
452,1358,213000
453,1306,196000
454,1306,184500
455,1358,212500
456,1314,230000
457,2492,552000
458,2200,382500
459,1884,320000
460,1456,248500
461,1712,286500
462,1324,254000
463,1405,173000
464,1626,173000
465,1456,184000
466,1490,167800
467,1484,174000
468,1560,174000
469,1555,174000
470,1569,175900
471,1555,192500
472,1504,181000
473,1220,180000
474,1145,160200
475,1432,188500
476,2267,200000
477,1374,170000
478,1630,189500
479,1419,184100
480,1594,195500
481,1489,192000
482,1342,178000
483,1314,207500
484,2256,236000
485,2004,257500
486,2054,244000
487,1374,167000
488,1800,179000
489,1514,190000
